Откуда,Куда,Время отправления,Время прибытия,Время в дороге,Маршрут,Взрослый,Детский
Левокумское,Кировская,9:40,20:10,630,1,1500,750
Левокумское,Мокрый Батай,9:40,20:35,655,1,1500,750
Левокумское,Батайск,9:40,20:45,665,1,1500,750
Левокумское,Аксай,9:40,21:15,695,1,1500,750
Левокумское,Ростов-на-Дону,9:40,21:15,695,1,1500,750
Левокумское,Новочеркасск,9:40,21:30,710,1,1500,750
Левокумское,Новошахтинск,9:40,22:05,745,1,1500,750
Левокумское,Шахты,9:40,22:05,745,1,1500,750
Левокумское,Красный Сулин,9:40,22:10,750,1,1554,777
Левокумское,Зверево,9:40,22:15,755,1,1554,777
Левокумское,Гуково,9:40,22:15,755,1,1554,777
Левокумское,Каменск-Шахтинский,9:40,22:30,770,1,1554,777
Левокумское,Лихой,9:40,22:45,785,1,1554,777
Левокумское,Тарасовский,9:40,23:00,800,1,1554,777
Левокумское,Глубокий,9:40,23:20,820,1,1554,777
Левокумское,Миллерово,9:40,0:05,865,1,1554,777
Левокумское,Алексеево-Лозовское,9:40,0:20,880,1,1797,898
Левокумское,Нагибин,9:40,1:20,940,1,1797,898
Левокумское,Богучар,9:40,1:40,960,1,1797,898
Левокумское,Верхний Мамон,9:40,2:00,980,1,1797,898
Левокумское,Павловск,9:40,2:30,1010,1,2028,1014
Левокумское,Лосево,9:40,2:40,1020,1,2028,1014
Левокумское,Бобров,9:40,2:45,1025,1,2028,1014
Левокумское,Лиски,9:40,2:50,1030,1,2028,1014
Левокумское,Каширское,9:40,2:55,1035,1,2028,1014
Левокумское,Воронеж,9:40,3:00,1040,1,2028,1014
Левокумское,Рамонь,9:40,3:20,1060,1,2028,1014
Левокумское,Хлевное,9:40,3:50,1090,1,2028,1014
Левокумское,Задонск,9:40,4:20,1120,1,2028,1014
Левокумское,Елец,9:40,6:30,1250,1,2028,1014
Левокумское,Ефремов,9:40,7:30,1310,1,2028,1014
Левокумское,Богородицк,9:40,8:20,1360,1,2028,1014
Левокумское,Тула,9:40,8:45,1385,1,2269,1134
Левокумское,Москва,9:40,13:30,1670,1,2700,1350
Буденновск,Михайловск,10:40,15:30,290,1,1500,750
Буденновск,Донское,10:40,16:00,320,1,1500,750
Буденновск,Безопасное,10:40,16:20,340,1,1500,750
Буденновск,Красногвардейское,10:40,17:10,390,1,1500,750
Буденновск,Песчанокопское,10:40,18:10,450,1,1500,750
Буденновск,Егорлыкская,10:40,19:00,500,1,1500,750
Буденновск,Мечетинская,10:40,19:20,520,1,1500,750
Буденновск,Зерноград,10:40,19:30,530,1,1500,750
Буденновск,Экспериментальный,10:40,19:30,530,1,1500,750
Буденновск,Кагальницкая,10:40,19:50,550,1,1500,750
Буденновск,Кировская,10:40,20:10,570,1,1500,750
Буденновск,Мокрый Батай,10:40,20:35,595,1,1500,750
Буденновск,Батайск,10:40,20:45,605,1,1500,750
Буденновск,Аксай,10:40,21:15,635,1,1500,750
Буденновск,Ростов-на-Дону,10:40,21:15,635,1,1500,750
Буденновск,Новочеркасск,10:40,21:30,650,1,1500,750
Буденновск,Новошахтинск,10:40,22:05,685,1,1500,750
Буденновск,Шахты,10:40,22:05,685,1,1500,750
Буденновск,Красный Сулин,10:40,22:10,690,1,1554,777
Буденновск,Зверево,10:40,22:15,695,1,1554,777
Буденновск,Гуково,10:40,22:15,695,1,1554,777
Буденновск,Каменск-Шахтинский,10:40,22:30,710,1,1554,777
Буденновск,Лихой,10:40,22:45,725,1,1554,777
Буденновск,Тарасовский,10:40,23:00,740,1,1554,777
Буденновск,Глубокий,10:40,23:20,760,1,1554,777
Буденновск,Миллерово,10:40,0:05,805,1,1554,777
Буденновск,Алексеево-Лозовское,10:40,0:20,820,1,1797,898
Буденновск,Нагибин,10:40,1:20,880,1,1797,898
Буденновск,Богучар,10:40,1:40,900,1,1797,898
Буденновск,Верхний Мамон,10:40,2:00,920,1,1797,898
Буденновск,Павловск,10:40,2:30,950,1,2028,1014
Буденновск,Лосево,10:40,2:40,960,1,2028,1014
Буденновск,Бобров,10:40,2:45,965,1,2028,1014
Буденновск,Лиски,10:40,2:50,970,1,2028,1014
Буденновск,Каширское,10:40,2:55,975,1,2028,1014
Буденновск,Воронеж,10:40,3:00,980,1,2028,1014
Буденновск,Рамонь,10:40,3:20,1000,1,2028,1014
Буденновск,Хлевное,10:40,3:50,1030,1,2028,1014
Буденновск,Задонск,10:40,4:20,1060,1,2028,1014
Буденновск,Елец,10:40,6:30,1190,1,2028,1014
Буденновск,Ефремов,10:40,7:30,1250,1,2028,1014
Буденновск,Богородицк,10:40,8:20,1300,1,2028,1014
Буденновск,Тула,10:40,8:45,1325,1,2269,1134
Буденновск,Москва,10:40,13:30,1610,1,2600,1300
Новопавловск,Михайловск,10:00,15:30,330,1,1500,750
Новопавловск,Донское,10:00,16:00,360,1,1500,750
Новопавловск,Безопасное,10:00,16:20,380,1,1500,750
Новопавловск,Красногвардейское,10:00,17:10,430,1,1500,750
Новопавловск,Песчанокопское,10:00,18:10,490,1,1500,750
Новопавловск,Егорлыкская,10:00,19:00,540,1,1500,750
Новопавловск,Мечетинская,10:00,19:20,560,1,1500,750
Новопавловск,Зерноград,10:00,19:30,570,1,1500,750
Новопавловск,Экспериментальный,10:00,19:30,570,1,1500,750
Новопавловск,Кагальницкая,10:00,19:50,590,1,1500,750
Новопавловск,Кировская,10:00,20:10,610,1,1500,750
Новопавловск,Мокрый Батай,10:00,20:35,635,1,1500,750
Новопавловск,Батайск,10:00,20:45,645,1,1500,750
Новопавловск,Аксай,10:00,21:15,675,1,1500,750
Новопавловск,Ростов-на-Дону,10:00,21:15,675,1,1500,750
Новопавловск,Новочеркасск,10:00,21:30,690,1,1500,750
Новопавловск,Новошахтинск,10:00,22:05,725,1,1500,750
Новопавловск,Шахты,10:00,22:05,725,1,1500,750
Новопавловск,Красный Сулин,10:00,22:10,730,1,1500,750
Новопавловск,Зверево,10:00,22:15,735,1,1500,750
Новопавловск,Гуково,10:00,22:15,735,1,1500,750
Новопавловск,Каменск-Шахтинский,10:00,22:30,750,1,1500,750
Новопавловск,Лихой,10:00,22:45,765,1,1500,750
Новопавловск,Тарасовский,10:00,23:00,780,1,1500,750
Новопавловск,Глубокий,10:00,23:20,800,1,1500,750
Новопавловск,Миллерово,10:00,0:05,845,1,1500,750
Новопавловск,Алексеево-Лозовское,10:00,0:20,860,1,1500,750
Новопавловск,Нагибин,10:00,1:20,920,1,1500,750
Новопавловск,Богучар,10:00,1:40,940,1,1500,750
Новопавловск,Верхний Мамон,10:00,2:00,960,1,1500,750
Новопавловск,Павловск,10:00,2:30,990,1,1500,750
Новопавловск,Лосево,10:00,2:40,1000,1,1500,750
Новопавловск,Бобров,10:00,2:45,1005,1,1500,750
